Monthly,2023
Jan,36900
Feb,60567
Mar,79114
Apr,38740
May,62863
Jun,51449
Jul,33075
Aug,38991
Sep,54882
Oct,73343
Nov,65706
Dec,60693
Yearly Export,656323
