type,code,name_km,name_en,province_code
ស្រុក,1504,ភ្នំក្រវ៉ាញ,Phnum Kravanh,15
ក្រុង,1505,ពោធិ៍សាត់,Pursat,15
ស្រុក,1506,វាលវែង,Veal Veaeng,15
ស្រុក,1507,តាលោសែនជ័យ,Ta Lou Senchey,15
ស្រុក,1601,អណ្ដូងមាស,Andoung Meas,16
ក្រុង,1602,បានលុង,Ban Lung,16
ស្រុក,1603,បរកែវ,Bar Kaev,16
ស្រុក,1604,កូនមុំ,Koun Mom,16
ស្រុក,1605,លំផាត់,Lumphat,16
ស្រុក,1606,អូរជុំ,Ou Chum,16
ស្រុក,1607,អូរយ៉ាដាវ,Ou Ya Dav,16
ស្រុក,1608,តាវែង,Ta Veaeng,16
ស្រុក,1609,វើនសៃ,Veun Sai,16
ស្រុក,1701,អង្គរជុំ,Angkor Chum,17
ស្រុក,1702,អង្គរធំ,Angkor Thum,17
ស្រុក,1703,បន្ទាយស្រី,Banteay Srei,17
ស្រុក,1704,ជីក្រែង,Chi Kraeng,17
ស្រុក,1706,ក្រឡាញ់,Kralanh,17
ស្រុក,1707,ពួក,Puok,17
ស្រុក,1709,ប្រាសាទបាគង,Prasat Bakong,17
ក្រុង,1710,សៀមរាប,Siem Reap,17
ស្រុក,1711,សូទ្រនិគម,Soutr Nikom,17
ស្រុក,1712,ស្រីស្នំ,Srei Snam,17
ស្រុក,1713,ស្វាយលើ,Svay Leu,17
ស្រុក,1714,វ៉ារិន,Varin,17
ក្រុង,1801,ព្រះសីហនុ,Preah Sihanouk,18
ស្រុក,1802,ព្រៃនប់,Prey Nob,18
ស្រុក,1803,ស្ទឹងហាវ,Stueng Hav,18
ស្រុក,1804,កំពង់សីលា,Kampong Seila,18
ក្រុង,1805,កោះរ៉ុង,Kaoh Rung,18
ស្រុក,1901,សេសាន,Sesan,19
ស្រុក,1902,សៀមបូក,Siem Bouk,19
ស្រុក,1903,សៀមប៉ាង,Siem Pang,19
ក្រុង,1904,ស្ទឹងត្រែង,Stueng Traeng,19
ស្រុក,1905,ថាឡាបរិវ៉ាត់,Thala Barivat,19
ស្រុក,1906,បុរីអូរស្វាយសែនជ័យ,Borei Ou Svay Senchey,19
ស្រុក,2001,ចន្ទ្រា,Chantrea,20
ស្រុក,2002,កំពង់រោទិ៍,Kampong Rou,20
ស្រុក,2003,រំដួល,Rumduol,20
ស្រុក,2004,រមាសហែក,Romeas Haek,20
ស្រុក,2005,ស្វាយជ្រំ,Svay Chrum,20
ក្រុង,2006,ស្វាយរៀង,Svay Rieng,20
ស្រុក,2007,ស្វាយទាប,Svay Teab,20
ក្រុង,2008,បាវិត,Bavet,20
ស្រុក,2101,អង្គរបូរី,Angkor Borei,21
ស្រុក,2102,បាទី,Bati,21
ស្រុក,2103,បូរីជលសារ,Borei Cholsar,21
ស្រុក,2104,គីរីវង់,Kiri Vong,21
ស្រុក,2105,កោះអណ្ដែត,Kaoh Andaet,21
ស្រុក,2106,ព្រៃកប្បាស,Prey Kabbas,21
ស្រុក,2107,សំរោង,Samraong,21
ក្រុង,2108,ដូនកែវ,Doun Kaev,21
ស្រុក,2109,ត្រាំកក់,Tram Kak,21
ស្រុក,2110,ទ្រាំង,Treang,21
ស្រុក,2201,អន្លង់វែង,Anlong Veaeng,22
ស្រុក,2202,បន្ទាយអំពិល,Banteay Ampil,22
ស្រុក,2203,ចុងកាល់,Chong Kal,22
ក្រុង,2204,សំរោង,Samraong,22
ស្រុក,2205,ត្រពាំងប្រាសាទ,Trapeang Prasat,22
ស្រុក,2301,ដំណាក់ចង្អើរ,Damnak Changaeur,23
ក្រុង,2302,កែប,Kaeb,23
ក្រុង,2401,ប៉ៃលិន,Pailin,24
ស្រុក,2402,សាលាក្រៅ,Sala Krau,24
ស្រុក,2501,តំបែរ,Dambae,25
ស្រុក,2502,ក្រូចឆ្មារ,Krouch Chhmar,25
ស្រុក,2503,មេមត់,Memot,25
ស្រុក,2504,អូររាំងឪ,Ou Reang Ov,25
ស្រុក,2505,ពញាក្រែក,Ponhea Kraek,25
ក្រុង,2506,សួង,Suong,25
ស្រុក,2507,ត្បូងឃ្មុំ,Tboung Khmum,25
